Domain,AuthProtocol,LogonType,Destination,Source,User,DateTime,LogFile,Type,EventID
companyA,Kerberos,3,SGBOSQL01,192.177.0.2,sqlservice,01/02/2016 00:00:02,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,666
companyA,Kerberos,3,SGDISQLDEV,192.177.0.4,SGBOSQL01$,01/02/2016 00:00:10,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,667
companyA,Kerberos,3,SGDISQLDEV,192.177.0.5,SGBOSQL01$,01/02/2016 00:00:10,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,666
companyA,Kerberos,3,SGDISQLDEV,192.177.0.1,SGDB01$,01/02/2016 00:00:29,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.1,SGDB01$,01/02/2016 00:00:29,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGBOSQL01,192.176.0.1,SGDB01$,01/02/2016 00:01:28,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
companyA,Kerberos,3,SGBOSQL01,192.177.0.2,sqlservice,01/02/2016 00:02:03,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.6,SGBOSQL01$,01/02/2016 00:02:11,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.6,SGBOSQL01$,01/02/2016 00:02:11,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.1,SGDB01$,01/02/2016 00:02:30,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,999
companyA,Kerberos,3,SGDISQLDEV,192.147.0.1,SGDB01$,01/02/2016 00:02:30,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGBOSQL01,192.177.0.1,SGDB01$,01/02/2016 00:03:29,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
companyA,Kerberos,3,SGBOSQL01,192.172.0.2,sqlservice,01/02/2016 00:04:04,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.176.0.6,SGBOSQL01$,01/02/2016 00:04:12,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.6,SGBOSQL01$,01/02/2016 00:04:12,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
,NTLM,3,SGDISQLDEV,192.177.0.3,,01/02/2016 00:04:16,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,666
,NTLM,3,SGDISQLDEV,192.177.0.3,,01/02/2016 00:04:16,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.1,SGDB01$,01/02/2016 00:04:31,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
companyA,Kerberos,3,SGDISQLDEV,192.177.0.1,SGDB01$,01/02/2016 00:04:31,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
